accuracy,avg_inference_latency_ms,eval_batch_size,f1,model_size_mb,n_eval_examples,p95_inference_latency_ms,variant
0.84,251.44991030770842,8,0.84,255.425,100,267.0085329998983,baseline
0.8,150.72653207690004,8,0.8001600640256104,132.281,100,321.2684499999334,quantized
0.79,243.91017961535837,8,0.7880795899909557,255.445,100,261.5095088000089,pruned
